business_name,city,council_district,dba_name,location_1,location_account,location_description,location_start_date,mailing_address,mailing_city,mailing_zip_code,naics,primary_naics_description,street_address,zip_code
STARBUCKS CORPORATION,LOS ANGELES,14,STARBUCKS COFFEE #19848,"{'latitude': '34.115', 'longitude': '-118.1831'}",0000008207-0017-1,6240 YORK 90042-3638,2014-04-10T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,311900,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",6240 YORK BLVD,90042-3638
STARBUCKS CORPORATION,SHERMAN OAKS,4,STARBUCKS COFFEE #18356,"{'latitude': '34.1576', 'longitude': '-118.4381'}",0000008207-0014-7,14006 RIVERSIDE 91423-6328,2013-09-19T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,445290,Home furnishings stores,14006 RIVERSIDE DRIVE #24C,91423-6328
STARBUCKS CORPORATION,WOODLAND HILLS,3,STARBUCKS COFFEE #9384,"{'latitude': '34.1783', 'longitude': '-118.5973'}",0000111880-0003-9,5960 CANOGA 91367-5042,2006-03-24T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,445290,Home furnishings stores,5960 CANOGA AVENUE,91367-5042
STARBUCKS CORPORATION,LOS ANGELES,13,STARBUCKS COFFEE #5683,"{'latitude': '34.104', 'longitude': '-118.2591'}",0000947625-0001-3,2556 GLENDALE 90039-3220,1999-02-27T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,722110,Full-service restaurants,2556 GLENDALE BLVD,90039-3220
STARBUCKS CORPORATION,TARZANA,3,STARBUCKS COFFEE #11779,"{'latitude': '34.1727', 'longitude': '-118.5564'}",0002267130-0003-3,19439 VENTURA 91356-3030,2007-12-14T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,311900,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",19439 VENTURA BLVD,91356-3030
STARBUCKS CORPORATION,NORTH HOLLYWOOD,2,STARBUCKS COFFEE #13365,"{'latitude': '34.2012', 'longitude': '-118.406'}",0000008207-0005-8,12520 SHERMAN 91605-5236,2008-10-10T00:00:00.000,POST OFFICE BOX #34067,SEATTLE,98124-1067,722110,Full-service restaurants,12520 SHERMAN WAY,91605-5236
STARBUCKS CORPORATION,LOS ANGELES,4,STARBUCKS COFFEE #5277,"{'latitude': '34.0713', 'longitude': '-118.36'}",0000364283-0001-1,6333 3RD 90036-3191,1996-06-15T00:00:00.000,POST OFFICE BOX #34067,SEATTLE,98124-1067,445290,Home furnishings stores,6333 W 3RD STREET #112,90036-3191
STARBUCKS CORPORATION,LOS ANGELES,4,STARBUCK COFFEE #5794,"{'latitude': '34.1017', 'longitude': '-118.2917'}",0000271368-0001-4,1700 VERMONT 90027-4306,2000-12-16T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,445290,Home furnishings stores,1700 N VERMONT AVENUE,90027-4306
STARBUCKS CORPORATION,CHATSWORTH,12,STARBUCKS COFFEE #16710,"{'latitude': '34.2372', 'longitude': '-118.5885'}",0000008207-0006-6,9157 DE SOTO 91311-4906,2012-04-06T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,722110,Full-service restaurants,9157 DE SOTO AVENUE,91311-4906
STARBUCKS CORPORATION,LOS ANGELES,14,STARBUCKS COFFEE #24164,"{'latitude': '34.0479', 'longitude': '-118.2578'}",0000037459-0011-8,700 7TH 90017-3768,2017-06-08T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,311900,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",700 W 7TH STREET,90017-3768
