zip_code,dba_name,ownership_name,city,street_address,location,location_start_date,location_end_date
90034,Coffee Commissary,"Commissary, Llc",Los Angeles,3425 Motor Avenue Building #101,"{'latitude': '34.0273', 'longitude': '-118.4092'}",2015-02-01T00:00:00.000,
90014,Cognoscenti Coffee,"Cogdtla, Llc",Los Angeles,888 S Olive Street Unit #2,"{'latitude': '34.0439', 'longitude': '-118.258'}",2015-05-14T00:00:00.000,
90015,Cognoscenti Coffee,"Cogdtla, Llc",Los Angeles,1118   San Julian Street,"{'latitude': '0.0', 'longitude': '0.0'}",2016-09-25T00:00:00.000,
90012,Endorffeine,Endorffeine Llc,Los Angeles,727 N Broadway Suite #127,"{'latitude': '34.0608', 'longitude': '-118.239'}",2015-08-01T00:00:00.000,
90042,"G&B Coffee, Llc","G&B Coffee, Llc",Los Angeles,5619 N Figueroa Street,"{'latitude': '34.1093', 'longitude': '-118.1938'}",2017-05-17T00:00:00.000,
90042,Go Get Em Tiger,"Gget Highland Park, Llc",Los Angeles,5916 N Figueroa Street,"{'latitude': '34.1105', 'longitude': '-118.1902'}",2018-07-01T00:00:00.000,
90004,Go Get Em Tiger,Gget Larchmont Llc,Los Angeles,230 N Larchmont Blvd,"{'latitude': '34.075', 'longitude': '-118.3236'}",2013-06-20T00:00:00.000,
90027,Go Get Em Tiger,Gget Los Feliz Llc,Los Angeles,4630   Hollywood Blvd,"{'latitude': '34.0999', 'longitude': '-118.2903'}",2016-05-30T00:00:00.000,
90021,Go Get Em Tiger,Gget Dtla Llc,Los Angeles,767 S Alameda Street   Suite #184,"{'latitude': '34.0307', 'longitude': '-118.242'}",2018-09-01T00:00:00.000,
90021,Paramount Coffee Project,Paramount Coffee Project Usa Inc,Los Angeles,1320 E 7Th Street   Suite #100,"{'latitude': '34.0307', 'longitude': '-118.242'}",2018-05-02T00:00:00.000,
90028,Rubies And Diamonds,"Elieme, Llc",Los Angeles,6115 W Sunset Blvd   #150,"{'latitude': '34.1006', 'longitude': '-118.3276'}",2015-06-01T00:00:00.000,
90048,Verve Coffee Roasters,Ryan Odonovan / Colby Barr,Los Angeles,8051 W 3Rd Street,"{'latitude': '34.0721', 'longitude': '-118.3648'}",2015-10-02T00:00:00.000,
90013,Verve Coffee Roasters,Vcr Cafes Llc,Los Angeles,500   Mateo Street   Suite #102,"{'latitude': '34.0415', 'longitude': '-118.2326', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2019-07-16T00:00:00.000,
90041,Found Coffee,"Found Coffee, Inc.",Los Angeles,1355 Colorado Blvd,"{'latitude': '34.1395', 'longitude': '-118.1945'}",2015-01-21T00:00:00.000,
90066,The Boy & The Bear - Coffee Roastery,Cafefika International Us,Los Angeles,12712 W Washington Blvd,"{'latitude': '33.9966', 'longitude': '-118.435'}",2018-02-05T00:00:00.000,
90041,Hilltop Coffee + Kitchen,Hilltop Eagle Rock Llc,Los Angeles,4427   Eagle Rock Blvd,"{'latitude': '34.1252', 'longitude': '-118.2203'}",2019-06-01T00:00:00.000,
90057,Tactile Coffee,Tactile Coffee,Los Angeles,3109   Beverly Blvd,"{'latitude': '34.0722', 'longitude': '-118.2823'}",2016-02-01T00:00:00.000,
90071,Nossa Familia Coffee,Brazilian Specialty Coffee Llc,Los Angeles,601 W 5Th Street   Lobby #110,"{'latitude': '34.0507', 'longitude': '-118.2539'}",2017-07-01T00:00:00.000,
90026,Tierra Mia Coffee Company,Tierra Mia Coffee Company,Los Angeles,1202 N Alvarado Street #A,"{'latitude': '34.0781', 'longitude': '-118.2631'}",2013-04-01T00:00:00.000,
90031,Tierra Mia Coffee Company,Tierra Mia Coffee Company,Los Angeles,2108 N Broadway,"{'latitude': '34.073', 'longitude': '-118.2185', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2019-09-01T00:00:00.000,
