business_zip,dba_name,ownership_name,city,full_business_address,neighborhoods_analysis_boundaries,location,location_start_date,location_end_date,lic_code_description
94105,Peet's Coffee & Tea,Peet's Coffee & Tea Inc,San Francisco,595 Market St,,"{'type': 'Point', 'coordinates': [-122.400916, 37.789648]}",2008-11-17T00:00:00.000,,Multiple
94608,Peet's Coffee And Tea Inc,Peet's Coffee & Tea Inc,Emeryville,1400 Park Ave,,"{'type': 'Point', 'coordinates': [-122.2876, 37.830843]}",2010-01-01T00:00:00.000,,Mobile Food Facility 5
94108,Peet's Coffee & Tea,Peet's Coffee & Tea Inc,San Francisco,101 Post St,,"{'type': 'Point', 'coordinates': [-122.403893, 37.788865]}",2014-08-19T00:00:00.000,,Multiple
94105,Peet's Coffee & Tea,Peet's Coffee & Tea Inc,San Francisco,337 Seawall Lot Lnd Area 1-1,,,2015-02-27T00:00:00.000,2016-02-14T00:00:00.000,
94102,Peet's Coffee & Tea,Peet's Coffee & Tea Inc,San Francisco,773 Market St,,,2016-07-22T00:00:00.000,,Multiple
94102,Peet's Coffee & Tea,Evans Brothers Cabinets,San Francisco,773 Market St,,,2016-08-01T00:00:00.000,2018-05-24T00:00:00.000,
94103,Peet's Coffee & Tea,Peet's Coffee & Tea Inc,San Francisco,625 8th St B1,South of Market,,2019-04-11T00:00:00.000,,Multiple
95838,Peet's Coffee,"California Sheet Metal, Inc.",Sacramento,3800 Pell Cir,,,2016-07-25T00:00:00.000,,Multiple
94123,Peet's Coffee And Tea Inc,Peet's Coffee & Tea Inc,San Francisco,2156 Chestnut St,,"{'type': 'Point', 'coordinates': [-122.438913, 37.800474]}",1989-01-01T00:00:00.000,2013-05-31T00:00:00.000,
94127,Peet's Coffee And Tea Inc,Peet's Coffee & Tea Inc,San Francisco,54 West Portal Ave,West of Twin Peaks,"{'type': 'Point', 'coordinates': [-122.466578, 37.740177]}",1989-01-01T00:00:00.000,,Multiple
94114,Peet's Coffee And Tea Inc,Peet's Coffee & Tea Inc,San Francisco,2257 Market St,Castro/Upper Market,"{'type': 'Point', 'coordinates': [-122.432007, 37.764979]}",1992-01-10T00:00:00.000,,Multiple
94104,Peet's Coffee And Tea,Peet's Coffee & Tea Inc,San Francisco,155 Montgomery St,Financial District/South Beach,,2017-04-17T00:00:00.000,,Multiple
94103,Peet's Coffee And Tea Inc,Peet's Coffee & Tea Inc,San Francisco,855 Brannan St,South of Market,,2018-05-11T00:00:00.000,2018-05-31T00:00:00.000,Multiple
94105,Peet's Coffee And Tea Inc,Peet's Coffee & Tea Inc,San Francisco,595 Mission St,Financial District/South Beach,"{'type': 'Point', 'coordinates': [-122.399703, 37.788081]}",2002-01-01T00:00:00.000,,Multiple
94111,Peet's Coffee And Tea Inc,Peet's Coffee & Tea Inc,San Francisco,22 Battery St,,"{'type': 'Point', 'coordinates': [-122.399629, 37.791547]}",1995-08-01T00:00:00.000,,Multiple
94105,Peet's Coffee & Tea,Peet's Coffee & Tea Inc,San Francisco,405 Howard St,,"{'type': 'Point', 'coordinates': [-122.395477, 37.788955]}",2007-01-04T00:00:00.000,,Multiple
94118,Peet's Coffee And Tea Inc,Peet's Coffee & Tea Inc,San Francisco,3419 California St,Presidio Heights,"{'type': 'Point', 'coordinates': [-122.45046, 37.786755]}",1989-01-01T00:00:00.000,,Multiple
94115,Peet's Coffee And Tea Inc,Peet's Coffee & Tea Inc,San Francisco,2197 Fillmore St,Pacific Heights,"{'type': 'Point', 'coordinates': [-122.434031, 37.78982]}",1995-08-01T00:00:00.000,,Multiple
94132,Peet's Coffee & Tea Inc,Peet's Coffee & Tea Inc,San Francisco,3251 20th Ave,Lakeshore,"{'type': 'Point', 'coordinates': [-122.475605, 37.727905]}",2013-06-24T00:00:00.000,,Multiple
94117,Peet's Coffee And Tea Inc,Peet's Coffee & Tea Inc,San Francisco,919 Cole St,Haight Ashbury,"{'type': 'Point', 'coordinates': [-122.449934, 37.76564]}",2013-07-29T00:00:00.000,,Multiple
94132,Peet's Coffee & Tea,Emmar Brands Corporation,San Francisco,1630 Holloway Ave,Lakeshore,"{'type': 'Point', 'coordinates': [-122.477631, 37.720868]}",2012-04-09T00:00:00.000,,"Restaurant Less Than 1,000 Sqft"
94123,Peet's Coffee & Tea,Peet's Coffee & Tea Inc,San Francisco,2080 Chestnut St,Marina,"{'type': 'Point', 'coordinates': [-122.437864, 37.800607]}",2014-02-01T00:00:00.000,,Multiple
94105,Peet's Coffee & Tea,Peet's Coffee & Tea Inc,San Francisco,121 Spear St,Financial District/South Beach,,2016-07-22T00:00:00.000,,Multiple
94102,Peet's Coffee & Tea,Peet's Coffee & Tea,San Francisco,1400 Mission St Ste 130,South of Market,,2016-10-07T00:00:00.000,2016-10-07T00:00:00.000,Multiple
94105,Peet's Coffee & Tea,Peet's Coffee & Tea Inc,San Francisco,692 Mission St,Financial District/South Beach,,2006-07-10T00:00:00.000,,Multiple
94102,Peet's Coffee & Tea,Peet's Coffee & Tea Inc,San Francisco,1400 Mission St Ste 130,South of Market,,2018-01-01T00:00:00.000,,Multiple
